User,Card,Year,Month,Day,Amount,UseChip,MerchantName,MerchantCity,MerchantCountry,Zip,MCC,target
1750.0,0.0,2015.0,7.0,16.0,$21.42,Swipe Transaction,Lukass Theaters,Tiffin,USA,44883.0,7832.0,No
1959.0,1.0,2016.0,5.0,5.0,$76.99,Chip Transaction,Jadens Wholesale,Lancaster,USA,93535.0,5300.0,No
182.0,2.0,2012.0,11.0,23.0,$2.19,Swipe Transaction,Supermarket Chain 3,Houston,USA,77096.0,5411.0,No
458.0,2.0,2019.0,5.0,15.0,$45.73,Chip Transaction,Supermarket Chain 3,Flint,USA,48532.0,5411.0,No
1949.0,0.0,2018.0,1.0,4.0,$1.25,Chip Transaction,Convenience Store Chain 1,Brooklyn,USA,11213.0,5499.0,No
899.0,1.0,2004.0,7.0,17.0,$100.00,Swipe Transaction,Money Transfer Company 1,Atlanta,USA,30349.0,4829.0,No
168.0,1.0,2005.0,9.0,15.0,$103.04,Swipe Transaction,Pharmacy Company 1,Minneapolis,USA,55407.0,5912.0,No
282.0,1.0,2016.0,12.0,16.0,$147.80,Chip Transaction,Pharmacy Company 1,Denver,USA,80220.0,5912.0,No
1167.0,5.0,2009.0,8.0,25.0,$84.41,Swipe Transaction,Taylor Caldwell Grocery,Caldwell,USA,77836.0,5411.0,No
362.0,0.0,2013.0,10.0,7.0,$45.29,Swipe Transaction,Solomons Home Materials,Brooklyn,USA,11213.0,5211.0,No
591.0,3.0,2015.0,9.0,3.0,$34.24,Chip Transaction,Gutierrez Family Clothing,Whiteriver,USA,85941.0,5651.0,No
1113.0,4.0,2007.0,11.0,21.0,$9.45,Swipe Transaction,Ishaans Limousine,Erie,USA,16505.0,4121.0,No
732.0,2.0,2018.0,5.0,20.0,$433.18,Online Transaction,Online Casino 3,San Jose ,USA,51694.67689524219,7801.0,No
1075.0,5.0,2014.0,3.0,8.0,$89.03,Swipe Transaction,Pharmacy Company 1,Amherst,USA,44001.0,5912.0,No
1216.0,3.0,2005.0,3.0,1.0,$27.19,Swipe Transaction,Vending Machine Product 2,Houston,USA,77076.0,5499.0,No
95.0,2.0,2012.0,2.0,8.0,$22.26,Swipe Transaction,Wholesale Club 1,Arlington,USA,76014.0,5300.0,No
56.0,3.0,2009.0,12.0,15.0,$36.50,Swipe Transaction,Moore Gulf Shores Apothecary,Gulf Shores,USA,36547.0,5912.0,No
141.0,1.0,2003.0,4.0,30.0,$93.42,Swipe Transaction,Home Improvement Store 1,Paris,France,51694.67689524219,5211.0,No
1135.0,0.0,2014.0,9.0,14.0,$4.59,Swipe Transaction,Braun Shirley Market,Shirley,USA,11967.0,5411.0,No
1195.0,0.0,2017.0,2.0,4.0,$160.43,Chip Transaction,Ramirez Roswell Water,Roswell,USA,88201.0,4900.0,No
1129.0,0.0,2017.0,11.0,4.0,$1.18,Chip Transaction,Supermarket Chain 2,Hemlock,USA,48626.0,5411.0,No
220.0,2.0,2015.0,8.0,9.0,$24.00,Online Transaction,Online Retailer 2,San Jose ,USA,51694.67689524219,5311.0,No
1933.0,4.0,2019.0,6.0,14.0,$41.75,Chip Transaction,Discount Store 1,Carrboro,USA,27510.0,5310.0,No
1664.0,5.0,2016.0,7.0,23.0,$23.93,Swipe Transaction,Movie Theater Chain 1,Roann,USA,46974.0,7832.0,No
899.0,1.0,2012.0,11.0,12.0,$197.70,Swipe Transaction,Taylor Podiatrists,Atlanta,USA,30344.0,8049.0,No
1752.0,0.0,2011.0,6.0,28.0,$0.23,Swipe Transaction,Convenience Store Chain 3,Owatonna,USA,55060.0,5499.0,No
475.0,4.0,2015.0,1.0,11.0,$0.76,Chip Transaction,Bookstore Company 1,Irvine,USA,92614.0,5942.0,No
70.0,0.0,2009.0,12.0,21.0,$11.55,Swipe Transaction,Restaurant Chain 1,Post Falls,USA,83854.0,5812.0,No
1567.0,2.0,2017.0,6.0,9.0,$14.59,Chip Transaction,Lilys Foods,Chino,USA,91710.0,5411.0,No
693.0,0.0,2019.0,9.0,14.0,$127.41,Chip Transaction,Supermarket Chain 2,Fort Lauderdale,USA,33301.0,5411.0,No
816.0,5.0,2000.0,7.0,28.0,$20.14,Swipe Transaction,Butler Wholesale,Lawrenceville,USA,30043.0,5300.0,No
56.0,1.0,2013.0,1.0,24.0,$32.13,Online Transaction,Auto Toll Provider 1,San Jose ,USA,51694.67689524219,4784.0,No
920.0,0.0,2009.0,6.0,25.0,$6.21,Swipe Transaction,Convenience Store Chain 1,Fort Smith,USA,72904.0,5499.0,No
1804.0,0.0,2016.0,11.0,13.0,$43.68,Chip Transaction,Auto Service Company 1,Winthrop,USA,4364.0,7538.0,No
706.0,3.0,2004.0,10.0,22.0,$22.10,Swipe Transaction,Wholesale Club 1,Los Angeles,USA,90023.0,5300.0,No
1744.0,0.0,2019.0,1.0,18.0,$210.24,Online Transaction,Insurance Company 11,San Jose ,USA,51694.67689524219,6300.0,No
1450.0,0.0,2015.0,7.0,29.0,$3.27,Swipe Transaction,Restaurant Chain 5,Fresno,USA,93720.0,5812.0,No
740.0,5.0,2012.0,11.0,11.0,$25.96,Swipe Transaction,Fernandez Bar,Melville,USA,11747.0,5813.0,No
